"gid_imovel","gid_geom","gid_det","ic_imovel","cod_imovel","dominialid","origem","modalidade","geom"
4827,4825,NULL,243432414011300000,27772,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303613.62085945,7405828.729054156],[303607.564784817,7405815.148025078],[303605.565842325,7405810.879553872],[303605.525303067,7405810.792834442],[303588.854112454,7405823.301142117],[303591.731570068,7405826.750252629],[303591.930938698,7405826.989185018],[303601.040914924,7405838.154160564],[303613.62085945,7405828.729054156]]]}"
4963,4961,NULL,243432423006600000,27826,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303664.952277401,7405858.462454218],[303662.641730496,7405853.908812599],[303662.483966238,7405853.676750598],[303659.511728852,7405849.302912606],[303659.474085585,7405849.205930552],[303637.499559799,7405858.896642782],[303637.596901528,7405859.115049079],[303638.53261381,7405861.214424415],[303641.458156832,7405867.799138591],[303641.819166716,7405868.599831553],[303664.952277401,7405858.462454218]]]}"
4964,4962,NULL,243432423010400000,29530,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303677.681844947,7405905.41540504],[303683.819700238,7405901.326244337],[303685.961779368,7405894.025616528],[303678.118308541,7405882.896109347],[303653.446343943,7405893.607568681],[303653.553632112,7405893.762304919],[303653.709551391,7405893.987142388],[303656.45896266,7405896.89419865],[303663.735447914,7405902.158040599],[303667.326850251,7405904.723648917],[303670.068828408,7405905.684620528],[303674.019475568,7405905.968316686],[303677.681844947,7405905.41540504]]]}"
4965,4963,NULL,243432423007600000,27827,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303670.386958096,7405868.89641816],[303666.55747024,7405861.87340454],[303666.31239678,7405861.352732414],[303664.952277401,7405858.462454218],[303641.819166716,7405868.599831553],[303646.109217533,7405878.113652581],[303646.595415035,7405879.274685672],[303670.386958096,7405868.89641816]]]}"
4966,4964,NULL,243432423005500000,27825,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303659.474085585,7405849.205930552],[303658.581735338,7405846.905204512],[303655.470165561,7405839.449473425],[303633.256503882,7405849.377353355],[303633.318224097,7405849.515752159],[303637.499559799,7405858.896642782],[303659.474085585,7405849.205930552]]]}"
4976,4974,NULL,243432423002400000,27822,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303645.345203829,7405815.219670856],[303643.289688203,7405810.38829957],[303620.326763292,7405820.650421232],[303622.516629189,7405825.507516377],[303645.345203829,7405815.219670856]]]}"
39306,39304,NULL,243432423003400000,27823,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303651.35542213,7405829.726980826],[303651.199183996,7405829.35769674],[303647.742691825,7405821.190653916],[303647.396527172,7405820.372768538],[303624.684264657,7405830.315132904],[303628.960870884,7405839.800757254],[303651.35542213,7405829.726980826]]]}"
39319,39317,NULL,243432423004500000,27824,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303655.470165561,7405839.449473425],[303651.35542213,7405829.726980826],[303628.960870884,7405839.800757254],[303631.335962661,7405845.068617094],[303633.256503882,7405849.377353355],[303655.470165561,7405839.449473425]]]}"
39320,39318,NULL,243432425025100000,9399,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303691.622147705,7405843.994683905],[303691.623760094,7405843.981080892],[303693.196583923,7405827.998455148],[303693.198838808,7405827.975002309],[303693.220908934,7405827.79164264],[303651.199183996,7405829.35769674],[303651.35542213,7405829.726980826],[303655.470165561,7405839.449473425],[303658.581735338,7405846.905204512],[303691.622147705,7405843.994683905]]]}"
39380,39378,NULL,243432414012800000,27795,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303605.525303067,7405810.792834442],[303602.145276804,7405803.575311331],[303592.504204266,7405811.102317041],[303584.095007522,7405817.667462865],[303588.623361802,7405823.024461478],[303588.854112454,7405823.301142117],[303605.525303067,7405810.792834442]]]}"
